Player: shane | Score: 1 | High Score: 1
Player: shane | Score: 1 | High Score: 1
Player: sane | Score: 0 | High Score: 0
Player: shane | Score: 0 | High Score: 0
Player: shane | Score: 5 | High Score: 5
Player: shane | Score: 0 | High Score: 5
Player: s | Score: 21 | High Score: 21
Player: shane | Score: 8 | High Score: 8
Player: shane | Score: 0 | High Score: 8
Player: shane | Score: 5 | High Score: 8
Player: shane | Score: 3 | High Score: 8
Player: shane | Score: 1 | High Score: 8
Player: Nishit | Score: 2 | High Score: 2
Player: Shlok | Score: 33 | High Score: 33
Player: shane | Score: 12 | High Score: 12
Player: s | Score: 6 | High Score: 21
Player: shane | Score: 13 | High Score: 13
Player: s | Score: 0 | High Score: 21
Player: s | Score: 0 | High Score: 21
Player: s | Score: 3 | High Score: 21
Player: shane | Score: 1 | High Score: 13
Player: shane | Score: 3 | High Score: 13
Player: s | Score: 0 | High Score: 21
Player: s | Score: 0 | High Score: 21
Player: s | Score: 0 | High Score: 21
